Treatment,Tub,Date,Time,DateTime,Temperature (°F),Temperature (°C)
Ambient,1,2023-02-01,12:30,2023-02-01 12:30,73.407,23.00388889
Ambient,1,2023-02-01,12:45,2023-02-01 12:45,72.891,22.71722222
Ambient,1,2023-02-01,13:00,2023-02-01 13:00,72.545,22.525
Ambient,1,2023-02-01,13:15,2023-02-01 13:15,72.199,22.33277778
Ambient,1,2023-02-01,13:30,2023-02-01 13:30,71.856,22.14222222
Ambient,1,2023-02-01,13:45,2023-02-01 13:45,72.199,22.33277778
Ambient,1,2023-02-01,14:00,2023-02-01 14:00,73.407,23.00388889
Ambient,1,2023-02-01,14:15,2023-02-01 14:15,73.062,22.81222222
Ambient,1,2023-02-01,14:30,2023-02-01 14:30,72.718,22.62111111
Ambient,1,2023-02-01,14:45,2023-02-01 14:45,72.372,22.42888889
Ambient,1,2023-02-01,15:00,2023-02-01 15:00,72.028,22.23777778
Ambient,1,2023-02-01,15:15,2023-02-01 15:15,71.683,22.04611111
Ambient,1,2023-02-01,15:30,2023-02-01 15:30,73.234,22.90777778
Ambient,1,2023-02-01,15:45,2023-02-01 15:45,74.619,23.67722222
Ambient,1,2023-02-01,16:00,2023-02-01 16:00,74.098,23.38777778
Ambient,1,2023-02-01,16:15,2023-02-01 16:15,73.753,23.19611111
Ambient,1,2023-02-01,16:30,2023-02-01 16:30,73.407,23.00388889
Ambient,1,2023-02-01,16:45,2023-02-01 16:45,72.891,22.71722222
Ambient,1,2023-02-01,17:00,2023-02-01 17:00,72.545,22.525
Ambient,1,2023-02-01,17:15,2023-02-01 17:15,72.199,22.33277778
Ambient,1,2023-02-01,17:30,2023-02-01 17:30,71.683,22.04611111
Ambient,1,2023-02-01,17:45,2023-02-01 17:45,71.856,22.14222222
Ambient,1,2023-02-01,18:00,2023-02-01 18:00,74.619,23.67722222
Ambient,1,2023-02-01,18:15,2023-02-01 18:15,74.271,23.48388889
Ambient,1,2023-02-01,18:30,2023-02-01 18:30,73.753,23.19611111
Ambient,1,2023-02-01,18:45,2023-02-01 18:45,73.407,23.00388889
Ambient,1,2023-02-01,19:00,2023-02-01 19:00,72.891,22.71722222
Ambient,1,2023-02-01,19:15,2023-02-01 19:15,72.372,22.42888889
Ambient,1,2023-02-01,19:30,2023-02-01 19:30,72.028,22.23777778
Ambient,1,2023-02-01,19:45,2023-02-01 19:45,71.683,22.04611111
Ambient,1,2023-02-01,20:00,2023-02-01 20:00,73.407,23.00388889
Ambient,1,2023-02-01,20:15,2023-02-01 20:15,74.446,23.58111111
Ambient,1,2023-02-01,20:30,2023-02-01 20:30,74.098,23.38777778
Ambient,1,2023-02-01,20:45,2023-02-01 20:45,73.58,23.1
Ambient,1,2023-02-01,21:00,2023-02-01 21:00,73.062,22.81222222
Ambient,1,2023-02-01,21:15,2023-02-01 21:15,72.718,22.62111111
Ambient,1,2023-02-01,21:30,2023-02-01 21:30,72.199,22.33277778
Ambient,1,2023-02-01,21:45,2023-02-01 21:45,71.856,22.14222222
Ambient,1,2023-02-01,22:00,2023-02-01 22:00,72.028,22.23777778
Ambient,1,2023-02-01,22:15,2023-02-01 22:15,74.619,23.67722222
Ambient,1,2023-02-01,22:30,2023-02-01 22:30,74.271,23.48388889
Ambient,1,2023-02-01,22:45,2023-02-01 22:45,73.926,23.29222222
Ambient,1,2023-02-01,23:00,2023-02-01 23:00,73.407,23.00388889
Ambient,1,2023-02-01,23:15,2023-02-01 23:15,72.891,22.71722222
Ambient,1,2023-02-01,23:30,2023-02-01 23:30,72.372,22.42888889
Ambient,1,2023-02-01,23:45,2023-02-01 23:45,72.028,22.23777778
Ambient,1,2023-02-02,0:00,2023-02-02 00:00,71.512,21.95111111
Ambient,1,2023-02-02,0:15,2023-02-02 00:15,73.58,23.1
Ambient,1,2023-02-02,0:30,2023-02-02 00:30,74.964,23.86888889
Ambient,1,2023-02-02,0:45,2023-02-02 00:45,74.446,23.58111111
Ambient,1,2023-02-02,1:00,2023-02-02 01:00,73.926,23.29222222
Ambient,1,2023-02-02,1:15,2023-02-02 01:15,73.407,23.00388889
Ambient,1,2023-02-02,1:30,2023-02-02 01:30,72.891,22.71722222
Ambient,1,2023-02-02,1:45,2023-02-02 01:45,72.372,22.42888889
Ambient,1,2023-02-02,2:00,2023-02-02 02:00,72.028,22.23777778
Ambient,1,2023-02-02,2:15,2023-02-02 02:15,71.512,21.95111111
Ambient,1,2023-02-02,2:30,2023-02-02 02:30,73.753,23.19611111
Ambient,1,2023-02-02,2:45,2023-02-02 02:45,74.619,23.67722222
Ambient,1,2023-02-02,3:00,2023-02-02 03:00,74.271,23.48388889
Ambient,1,2023-02-02,3:15,2023-02-02 03:15,73.753,23.19611111
Ambient,1,2023-02-02,3:30,2023-02-02 03:30,73.234,22.90777778
Ambient,1,2023-02-02,3:45,2023-02-02 03:45,72.718,22.62111111
Ambient,1,2023-02-02,4:00,2023-02-02 04:00,72.199,22.33277778
Ambient,1,2023-02-02,4:15,2023-02-02 04:15,71.856,22.14222222
Ambient,1,2023-02-02,4:30,2023-02-02 04:30,71.683,22.04611111
Ambient,1,2023-02-02,4:45,2023-02-02 04:45,74.619,23.67722222
Ambient,1,2023-02-02,5:00,2023-02-02 05:00,74.446,23.58111111
Ambient,1,2023-02-02,5:15,2023-02-02 05:15,73.926,23.29222222
Ambient,1,2023-02-02,5:30,2023-02-02 05:30,73.407,23.00388889
Ambient,1,2023-02-02,5:45,2023-02-02 05:45,73.062,22.81222222
Ambient,1,2023-02-02,6:00,2023-02-02 06:00,72.545,22.525
Ambient,1,2023-02-02,6:15,2023-02-02 06:15,72.028,22.23777778
Ambient,1,2023-02-02,6:30,2023-02-02 06:30,71.683,22.04611111
Ambient,1,2023-02-02,6:45,2023-02-02 06:45,72.718,22.62111111
Ambient,1,2023-02-02,7:00,2023-02-02 07:00,74.791,23.77277778
Ambient,1,2023-02-02,7:15,2023-02-02 07:15,74.446,23.58111111
Ambient,1,2023-02-02,7:30,2023-02-02 07:30,73.926,23.29222222
Ambient,1,2023-02-02,7:45,2023-02-02 07:45,73.407,23.00388889
Ambient,1,2023-02-02,8:00,2023-02-02 08:00,73.062,22.81222222
Ambient,1,2023-02-02,8:15,2023-02-02 08:15,72.545,22.525
Ambient,1,2023-02-02,8:30,2023-02-02 08:30,72.199,22.33277778
Ambient,1,2023-02-02,8:45,2023-02-02 08:45,71.856,22.14222222
Ambient,1,2023-02-02,9:00,2023-02-02 09:00,71.856,22.14222222
Ambient,1,2023-02-02,9:15,2023-02-02 09:15,74.791,23.77277778
Ambient,1,2023-02-02,9:30,2023-02-02 09:30,74.446,23.58111111
Ambient,1,2023-02-02,9:45,2023-02-02 09:45,74.098,23.38777778
Ambient,1,2023-02-02,10:00,2023-02-02 10:00,73.58,23.1
Ambient,1,2023-02-02,10:15,2023-02-02 10:15,73.234,22.90777778
Ambient,1,2023-02-02,10:30,2023-02-02 10:30,72.718,22.62111111
Ambient,1,2023-02-02,10:45,2023-02-02 10:45,72.372,22.42888889
Ambient,1,2023-02-02,11:00,2023-02-02 11:00,72.028,22.23777778
Ambient,1,2023-02-02,11:15,2023-02-02 11:15,71.683,22.04611111
Ambient,1,2023-02-02,11:30,2023-02-02 11:30,73.407,23.00388889
Ambient,1,2023-02-02,11:45,2023-02-02 11:45,74.619,23.67722222
Ambient,1,2023-02-02,12:00,2023-02-02 12:00,74.271,23.48388889
Ambient,1,2023-02-02,12:15,2023-02-02 12:15,73.926,23.29222222
Ambient,1,2023-02-02,12:30,2023-02-02 12:30,73.407,23.00388889
Ambient,1,2023-02-02,12:45,2023-02-02 12:45,73.062,22.81222222
Ambient,1,2023-02-02,13:00,2023-02-02 13:00,72.545,22.525
Ambient,1,2023-02-02,13:15,2023-02-02 13:15,72.199,22.33277778
Ambient,1,2023-02-02,13:30,2023-02-02 13:30,71.856,22.14222222
Ambient,1,2023-02-02,13:45,2023-02-02 13:45,71.683,22.04611111
Ambient,1,2023-02-02,14:00,2023-02-02 14:00,74.446,23.58111111
Ambient,1,2023-02-02,14:15,2023-02-02 14:15,74.619,23.67722222
Ambient,1,2023-02-02,14:30,2023-02-02 14:30,74.271,23.48388889
Ambient,1,2023-02-02,14:45,2023-02-02 14:45,73.926,23.29222222
Ambient,1,2023-02-02,15:00,2023-02-02 15:00,73.407,23.00388889
Ambient,1,2023-02-02,15:15,2023-02-02 15:15,72.891,22.71722222
Ambient,1,2023-02-02,15:30,2023-02-02 15:30,72.545,22.525
Ambient,1,2023-02-02,15:45,2023-02-02 15:45,72.199,22.33277778
Ambient,1,2023-02-02,16:00,2023-02-02 16:00,71.856,22.14222222
Ambient,1,2023-02-02,16:15,2023-02-02 16:15,72.545,22.525
Ambient,1,2023-02-02,16:30,2023-02-02 16:30,74.964,23.86888889
Ambient,1,2023-02-02,16:45,2023-02-02 16:45,74.619,23.67722222
Ambient,1,2023-02-02,17:00,2023-02-02 17:00,74.098,23.38777778
Ambient,1,2023-02-02,17:15,2023-02-02 17:15,73.753,23.19611111
Ambient,1,2023-02-02,17:30,2023-02-02 17:30,73.234,22.90777778
Ambient,1,2023-02-02,17:45,2023-02-02 17:45,72.891,22.71722222
Ambient,1,2023-02-02,18:00,2023-02-02 18:00,72.372,22.42888889
Ambient,1,2023-02-02,18:15,2023-02-02 18:15,72.028,22.23777778
Ambient,1,2023-02-02,18:30,2023-02-02 18:30,71.683,22.04611111
Ambient,1,2023-02-02,18:45,2023-02-02 18:45,73.753,23.19611111
Ambient,1,2023-02-02,19:00,2023-02-02 19:00,74.964,23.86888889
Ambient,1,2023-02-02,19:15,2023-02-02 19:15,74.446,23.58111111
Ambient,1,2023-02-02,19:30,2023-02-02 19:30,73.926,23.29222222
Ambient,1,2023-02-02,19:45,2023-02-02 19:45,73.407,23.00388889
Ambient,1,2023-02-02,20:00,2023-02-02 20:00,73.062,22.81222222
Ambient,1,2023-02-02,20:15,2023-02-02 20:15,72.545,22.525
Ambient,1,2023-02-02,20:30,2023-02-02 20:30,72.199,22.33277778
Ambient,1,2023-02-02,20:45,2023-02-02 20:45,71.856,22.14222222
Ambient,1,2023-02-02,21:00,2023-02-02 21:00,72.372,22.42888889
Ambient,1,2023-02-02,21:15,2023-02-02 21:15,74.964,23.86888889
Ambient,1,2023-02-02,21:30,2023-02-02 21:30,74.619,23.67722222
Ambient,1,2023-02-02,21:45,2023-02-02 21:45,74.098,23.38777778
Ambient,1,2023-02-02,22:00,2023-02-02 22:00,73.58,23.1
Ambient,1,2023-02-02,22:15,2023-02-02 22:15,73.234,22.90777778
Ambient,1,2023-02-02,22:30,2023-02-02 22:30,72.718,22.62111111
Ambient,1,2023-02-02,22:45,2023-02-02 22:45,72.372,22.42888889
Ambient,1,2023-02-02,23:00,2023-02-02 23:00,72.028,22.23777778
Ambient,1,2023-02-02,23:15,2023-02-02 23:15,71.683,22.04611111
Ambient,1,2023-02-02,23:30,2023-02-02 23:30,74.619,23.67722222
Ambient,1,2023-02-02,23:45,2023-02-02 23:45,74.964,23.86888889
Ambient,1,2023-02-03,0:00,2023-02-03 00:00,74.446,23.58111111
Ambient,1,2023-02-03,0:15,2023-02-03 00:15,73.926,23.29222222
Ambient,1,2023-02-03,0:30,2023-02-03 00:30,73.58,23.1
Ambient,1,2023-02-03,0:45,2023-02-03 00:45,73.062,22.81222222
Ambient,1,2023-02-03,1:00,2023-02-03 01:00,72.545,22.525
Ambient,1,2023-02-03,1:15,2023-02-03 01:15,72.199,22.33277778
Ambient,1,2023-02-03,1:30,2023-02-03 01:30,71.856,22.14222222
Ambient,1,2023-02-03,1:45,2023-02-03 01:45,72.891,22.71722222
Ambient,1,2023-02-03,2:00,2023-02-03 02:00,75.139,23.96611111
Ambient,1,2023-02-03,2:15,2023-02-03 02:15,74.619,23.67722222
Ambient,1,2023-02-03,2:30,2023-02-03 02:30,74.271,23.48388889
Ambient,1,2023-02-03,2:45,2023-02-03 02:45,73.753,23.19611111
Ambient,1,2023-02-03,3:00,2023-02-03 03:00,73.234,22.90777778
Ambient,1,2023-02-03,3:15,2023-02-03 03:15,72.718,22.62111111
Ambient,1,2023-02-03,3:30,2023-02-03 03:30,72.372,22.42888889
Ambient,1,2023-02-03,3:45,2023-02-03 03:45,72.028,22.23777778
Ambient,1,2023-02-03,4:00,2023-02-03 04:00,71.683,22.04611111
Ambient,1,2023-02-03,4:15,2023-02-03 04:15,74.791,23.77277778
Ambient,1,2023-02-03,4:30,2023-02-03 04:30,74.964,23.86888889
Ambient,1,2023-02-03,4:45,2023-02-03 04:45,74.446,23.58111111
Ambient,1,2023-02-03,5:00,2023-02-03 05:00,73.926,23.29222222
Ambient,1,2023-02-03,5:15,2023-02-03 05:15,73.407,23.00388889
Ambient,1,2023-02-03,5:30,2023-02-03 05:30,72.891,22.71722222
Ambient,1,2023-02-03,5:45,2023-02-03 05:45,72.545,22.525
Ambient,1,2023-02-03,6:00,2023-02-03 06:00,72.028,22.23777778
Ambient,1,2023-02-03,6:15,2023-02-03 06:15,71.683,22.04611111
Ambient,1,2023-02-03,6:30,2023-02-03 06:30,74.098,23.38777778
Ambient,1,2023-02-03,6:45,2023-02-03 06:45,74.964,23.86888889
Ambient,1,2023-02-03,7:00,2023-02-03 07:00,74.619,23.67722222
Ambient,1,2023-02-03,7:15,2023-02-03 07:15,74.098,23.38777778
Ambient,1,2023-02-03,7:30,2023-02-03 07:30,73.58,23.1
Ambient,1,2023-02-03,7:45,2023-02-03 07:45,73.234,22.90777778
Ambient,1,2023-02-03,8:00,2023-02-03 08:00,72.718,22.62111111
Ambient,1,2023-02-03,8:15,2023-02-03 08:15,72.372,22.42888889
Ambient,1,2023-02-03,8:30,2023-02-03 08:30,72.028,22.23777778
Ambient,1,2023-02-03,8:45,2023-02-03 08:45,71.856,22.14222222
Ambient,1,2023-02-03,9:00,2023-02-03 09:00,74.964,23.86888889
Ambient,1,2023-02-03,9:15,2023-02-03 09:15,74.791,23.77277778
Ambient,1,2023-02-03,9:30,2023-02-03 09:30,74.446,23.58111111
Ambient,1,2023-02-03,9:45,2023-02-03 09:45,73.926,23.29222222
Ambient,1,2023-02-03,10:00,2023-02-03 10:00,73.407,23.00388889
Ambient,1,2023-02-03,10:15,2023-02-03 10:15,73.062,22.81222222
Ambient,1,2023-02-03,10:30,2023-02-03 10:30,72.545,22.525
Ambient,1,2023-02-03,10:45,2023-02-03 10:45,72.199,22.33277778
Ambient,1,2023-02-03,11:00,2023-02-03 11:00,71.856,22.14222222
Ambient,1,2023-02-03,11:15,2023-02-03 11:15,72.891,22.71722222
Ambient,1,2023-02-03,11:30,2023-02-03 11:30,74.964,23.86888889
Ambient,1,2023-02-03,11:45,2023-02-03 11:45,74.619,23.67722222
Ambient,1,2023-02-03,12:00,2023-02-03 12:00,74.098,23.38777778
Ambient,1,2023-02-03,12:15,2023-02-03 12:15,73.58,23.1
Ambient,1,2023-02-03,12:30,2023-02-03 12:30,73.234,22.90777778
Ambient,1,2023-02-03,12:45,2023-02-03 12:45,72.718,22.62111111
Ambient,1,2023-02-03,13:00,2023-02-03 13:00,72.372,22.42888889
Ambient,1,2023-02-03,13:15,2023-02-03 13:15,72.028,22.23777778
Ambient,1,2023-02-03,13:30,2023-02-03 13:30,71.856,22.14222222
Ambient,1,2023-02-03,13:45,2023-02-03 13:45,74.964,23.86888889
Ambient,1,2023-02-03,14:00,2023-02-03 14:00,74.791,23.77277778
Ambient,1,2023-02-03,14:15,2023-02-03 14:15,74.271,23.48388889
Ambient,1,2023-02-03,14:30,2023-02-03 14:30,73.926,23.29222222
Ambient,1,2023-02-03,14:45,2023-02-03 14:45,73.407,23.00388889
Ambient,1,2023-02-03,15:00,2023-02-03 15:00,72.891,22.71722222
Ambient,1,2023-02-03,15:15,2023-02-03 15:15,72.545,22.525
Ambient,1,2023-02-03,15:30,2023-02-03 15:30,72.199,22.33277778
Ambient,1,2023-02-03,15:45,2023-02-03 15:45,71.856,22.14222222
Ambient,1,2023-02-03,16:00,2023-02-03 16:00,74.619,23.67722222
Ambient,1,2023-02-03,16:15,2023-02-03 16:15,74.964,23.86888889
Ambient,1,2023-02-03,16:30,2023-02-03 16:30,74.446,23.58111111
Ambient,1,2023-02-03,16:45,2023-02-03 16:45,73.926,23.29222222
Ambient,1,2023-02-03,17:00,2023-02-03 17:00,73.407,23.00388889
Ambient,1,2023-02-03,17:15,2023-02-03 17:15,72.891,22.71722222
Ambient,1,2023-02-03,17:30,2023-02-03 17:30,72.545,22.525
Ambient,1,2023-02-03,17:45,2023-02-03 17:45,72.199,22.33277778
Ambient,1,2023-02-03,18:00,2023-02-03 18:00,71.856,22.14222222
Ambient,1,2023-02-03,18:15,2023-02-03 18:15,73.753,23.19611111
Ambient,1,2023-02-03,18:30,2023-02-03 18:30,75.139,23.96611111
Ambient,1,2023-02-03,18:45,2023-02-03 18:45,74.619,23.67722222
Ambient,1,2023-02-03,19:00,2023-02-03 19:00,74.098,23.38777778
Ambient,1,2023-02-03,19:15,2023-02-03 19:15,73.58,23.1
Ambient,1,2023-02-03,19:30,2023-02-03 19:30,73.062,22.81222222
Ambient,1,2023-02-03,19:45,2023-02-03 19:45,72.718,22.62111111
Ambient,1,2023-02-03,20:00,2023-02-03 20:00,72.372,22.42888889
Ambient,1,2023-02-03,20:15,2023-02-03 20:15,72.028,22.23777778
Ambient,1,2023-02-03,20:30,2023-02-03 20:30,71.683,22.04611111
Ambient,1,2023-02-03,20:45,2023-02-03 20:45,74.619,23.67722222
Ambient,1,2023-02-03,21:00,2023-02-03 21:00,74.964,23.86888889
Ambient,1,2023-02-03,21:15,2023-02-03 21:15,74.446,23.58111111
Ambient,1,2023-02-03,21:30,2023-02-03 21:30,73.926,23.29222222
Ambient,1,2023-02-03,21:45,2023-02-03 21:45,73.407,23.00388889
Ambient,1,2023-02-03,22:00,2023-02-03 22:00,72.891,22.71722222
Ambient,1,2023-02-03,22:15,2023-02-03 22:15,72.545,22.525
Ambient,1,2023-02-03,22:30,2023-02-03 22:30,72.199,22.33277778
Ambient,1,2023-02-03,22:45,2023-02-03 22:45,71.856,22.14222222
Ambient,1,2023-02-03,23:00,2023-02-03 23:00,71.512,21.95111111
Ambient,1,2023-02-03,23:15,2023-02-03 23:15,71.168,21.76
Ambient,1,2023-02-03,23:30,2023-02-03 23:30,71.339,21.855
Ambient,1,2023-02-03,23:45,2023-02-03 23:45,74.964,23.86888889
Ambient,1,2023-02-04,0:00,2023-02-04 00:00,74.964,23.86888889
Ambient,1,2023-02-04,0:15,2023-02-04 00:15,74.446,23.58111111
Ambient,1,2023-02-04,0:30,2023-02-04 00:30,73.926,23.29222222
Ambient,1,2023-02-04,0:45,2023-02-04 00:45,73.407,23.00388889
Ambient,1,2023-02-04,1:00,2023-02-04 01:00,72.891,22.71722222
Ambient,1,2023-02-04,1:15,2023-02-04 01:15,72.372,22.42888889
Ambient,1,2023-02-04,1:30,2023-02-04 01:30,72.028,22.23777778
Ambient,1,2023-02-04,1:45,2023-02-04 01:45,71.512,21.95111111
Ambient,1,2023-02-04,2:00,2023-02-04 02:00,71.168,21.76
Ambient,1,2023-02-04,2:15,2023-02-04 02:15,72.199,22.33277778
Ambient,1,2023-02-04,2:30,2023-02-04 02:30,75.139,23.96611111
Ambient,1,2023-02-04,2:45,2023-02-04 02:45,74.619,23.67722222
Ambient,1,2023-02-04,3:00,2023-02-04 03:00,74.098,23.38777778
Ambient,1,2023-02-04,3:15,2023-02-04 03:15,73.58,23.1
Ambient,1,2023-02-04,3:30,2023-02-04 03:30,72.891,22.71722222
Ambient,1,2023-02-04,3:45,2023-02-04 03:45,72.372,22.42888889
Ambient,1,2023-02-04,4:00,2023-02-04 04:00,71.856,22.14222222
Ambient,1,2023-02-04,4:15,2023-02-04 04:15,71.339,21.855
Ambient,1,2023-02-04,4:30,2023-02-04 04:30,70.995,21.66388889
Ambient,1,2023-02-04,4:45,2023-02-04 04:45,73.926,23.29222222
Ambient,1,2023-02-04,5:00,2023-02-04 05:00,75.139,23.96611111
Ambient,1,2023-02-04,5:15,2023-02-04 05:15,74.446,23.58111111
Ambient,1,2023-02-04,5:30,2023-02-04 05:30,73.926,23.29222222
Ambient,1,2023-02-04,5:45,2023-02-04 05:45,73.234,22.90777778
Ambient,1,2023-02-04,6:00,2023-02-04 06:00,72.718,22.62111111
Ambient,1,2023-02-04,6:15,2023-02-04 06:15,72.372,22.42888889
Ambient,1,2023-02-04,6:30,2023-02-04 06:30,71.856,22.14222222
Ambient,1,2023-02-04,6:45,2023-02-04 06:45,71.512,21.95111111
Ambient,1,2023-02-04,7:00,2023-02-04 07:00,71.168,21.76
Ambient,1,2023-02-04,7:15,2023-02-04 07:15,71.512,21.95111111
Ambient,1,2023-02-04,7:30,2023-02-04 07:30,74.964,23.86888889
Ambient,1,2023-02-04,7:45,2023-02-04 07:45,74.791,23.77277778
Ambient,1,2023-02-04,8:00,2023-02-04 08:00,74.271,23.48388889
Ambient,1,2023-02-04,8:15,2023-02-04 08:15,73.753,23.19611111
Ambient,1,2023-02-04,8:30,2023-02-04 08:30,73.234,22.90777778
Ambient,1,2023-02-04,8:45,2023-02-04 08:45,72.718,22.62111111
Ambient,1,2023-02-04,9:00,2023-02-04 09:00,72.199,22.33277778
Ambient,1,2023-02-04,9:15,2023-02-04 09:15,71.856,22.14222222
Ambient,1,2023-02-04,9:30,2023-02-04 09:30,71.512,21.95111111
Ambient,1,2023-02-04,9:45,2023-02-04 09:45,71.168,21.76
Ambient,1,2023-02-04,10:00,2023-02-04 10:00,71.168,21.76
Ambient,1,2023-02-04,10:15,2023-02-04 10:15,74.791,23.77277778
Ambient,1,2023-02-04,10:30,2023-02-04 10:30,74.964,23.86888889
Ambient,1,2023-02-04,10:45,2023-02-04 10:45,74.446,23.58111111
Ambient,1,2023-02-04,11:00,2023-02-04 11:00,73.926,23.29222222
Ambient,1,2023-02-04,11:15,2023-02-04 11:15,73.407,23.00388889
Ambient,1,2023-02-04,11:30,2023-02-04 11:30,72.891,22.71722222
