curve,solution.pH,avg.yr.ratio
2,6,2.058453584
2,6,1.871935247
2,6,1.914970322
2,6,1.879028107
2,6,1.92740891
2,6,1.993976442
2,6.52,1.710707257
2,6.52,1.800523923
2,6.52,1.641802253
2,6.52,1.674627475
2,6.52,1.660509141
2,6.52,1.654811634
2,6.52,1.650835665
2,6.52,1.645876502
2,6.52,1.627667214
2,6.52,1.655700968
2,6.52,1.679111733
2,6.52,1.724470892
2,6.52,1.20463782
2,6.52,1.584175471
2,6.52,1.485106797
2,6.52,1.641686183
2,6.52,1.484135525
2,6.52,1.648733945
2,6.52,1.567081493
2,6.52,1.636581054
2,6.52,1.575049804
2,6.52,1.650299633
2,6.52,1.225756877
2,7.03,1.178129496
2,7.03,1.224985516
2,7.03,1.274640168
2,7.03,1.327680734
2,7.03,1.443196469
2,7.03,1.447990305
2,7.03,1.467895137
2,7.03,1.385699934
2,7.03,1.427749648
2,7.03,1.40720452
2,7.03,1.411355232
2,7.03,1.361403284
2,7.03,1.440714416
2,7.03,1.408337553
2,7.03,1.305754905
2,7.03,1.370657832
2,7.03,1.406203468
2,7.03,1.297693339
2,7.03,1.36157472
2,7.03,1.407645887
2,7.03,1.438337411
2,7.03,1.431646329
2,7.03,1.288287935
2,7.03,1.43217912
2,7.03,1.446432021
2,7.03,1.422516273
2,7.03,1.392543489
2,7.03,1.401833757
2,7.03,1.413345422
2,7.03,1.4142538
2,7.03,1.233543534
2,7.03,1.436936132
2,7.03,1.420482791
2,7.03,1.273150219
2,7.03,1.350593403
2,7.03,1.649924096
2,7.03,1.378668386
2,7.03,1.563211461
2,7.03,1.411752868
2,7.03,1.412234106
2,7.03,1.448830211
2,7.03,1.671820825
2,7.03,1.703425197
2,7.03,1.691884127
2,7.03,1.58125659
2,7.03,1.646542744
2,7.03,1.729164428
2,7.03,1.6130528
2,7.03,1.632398087
2,7.03,1.660268471
2,7.03,1.610637566
2,7.03,1.643111175
2,7.03,1.550028355
2,7.53,1.044393447
2,7.53,1.023595071
2,7.53,1.110397792
2,7.53,1.196936972
2,7.53,0.966589308
2,7.53,0.979700413
2,7.53,1.040083956
2,7.53,1.240490027
2,7.53,0.945856957
2,7.53,1.05381116
2,7.53,1.21418458
2,7.53,1.024015388
2,7.53,0.979222089
2,7.53,0.810440479
2,7.53,1.036367772
2,7.53,0.811813047
2,7.53,1.055512271
2,7.53,0.879293306
2,7.53,0.975667637
2,7.53,0.927722639
2,7.53,0.984432821
2,7.53,0.740538415
2,7.53,0.942083936
2,7.53,0.94902314
2,7.53,0.962191337
2,7.53,1.099533624
2,7.53,1.025403955
2,7.53,0.864415325
2,7.53,0.896989967
2,7.53,1.062579207
2,7.53,1.049787889
2,7.53,1.076443665
2,7.53,0.719172297
2,7.53,0.720708942
2,7.53,0.993134599
2,7.53,0.97615453
2,7.53,0.770117254
2,7.53,0.999580478
2,7.53,0.959825407
2,7.53,0.895086554
2,7.53,1.120488219
2,7.53,0.943826221
2,7.53,0.962399541
2,8.05,1.052086384
2,8.05,0.700473059
2,8.05,0.715190747
2,8.05,0.759053561
2,8.05,0.571329026
2,8.05,0.640139433
2,8.05,0.632935631
2,8.05,0.736521916
2,8.05,0.742839023
2,8.05,0.705233105
2,8.05,0.782574458
2,8.05,0.86970642
2,8.05,0.629254695
2,8.05,0.655773302
2,8.05,0.752692988
2,8.05,0.742569329
2,8.05,0.844720671
2,8.05,0.575929582
2,8.05,0.330933823
2,8.05,0.409194131
2,8.05,0.761841347
2,8.05,0.759249369
2,8.05,0.702656825
2,8.05,0.754261282
2,8.05,0.695051974
2,8.05,0.759852887
2,8.05,0.729858849
2,8.05,0.743565963
2,8.05,0.746783088
2,8.05,0.73912886
2,8.05,0.765292491
2,8.05,0.726351928
2,8.05,0.761485413
2,8.05,0.863895141
2,8.05,1.020087063
2,8.05,1.056063572
2,8.05,0.987904257
2,8.05,0.954712926
2,8.05,1.021602355
2,8.05,0.752798652
2,8.05,0.899537542
2,8.05,0.847136327
2,8.05,1.049710477
2,8.05,0.889482522
2,8.05,0.862283307
2,8.05,1.155035079
2,8.05,1.162753161
2,8.05,1.115155266
2,8.05,1.118310272
2,8.54,0.335121847
2,8.54,0.468474222
2,8.54,0.539113154
2,8.54,0.438585016
2,8.54,0.910472842
2,8.54,0.364043095
2,8.54,0.815434874
2,8.54,1.186918503
2,8.54,0.579428017
2,8.54,1.058498406
2,8.54,0.52781687
2,8.54,0.931731104
2,8.54,0.405505055
2,8.54,0.49880634
2,8.54,0.518548805
2,8.54,0.440760368
2,8.54,0.554321353
2,8.54,0.387686821
2,8.54,0.578702945
2,8.54,0.481655759
2,8.54,0.460793232
2,8.54,0.371748032
2,8.54,0.579595347
2,8.54,0.768664983
2,8.54,1.063399476
2,8.54,0.49342387
2,8.54,0.648816189
2,8.54,0.376986023
2,8.54,0.513741397
2,8.54,0.512201964
2,8.54,0.417301576
2,8.54,0.503014391
2,8.54,0.720102657
2,8.54,0.502225024
2,8.54,0.822291175
2,8.54,0.482117035
2,8.54,0.484084657
2,8.54,0.442508051
2,8.54,0.556883161
2,8.54,0.715031964
2,8.54,0.472851963
2,8.54,0.532845637
2,8.54,0.412413018
2,8.54,0.528066146
2,8.54,0.42428415
2,8.54,0.43511908
2,8.54,0.711005542
2,8.54,0.461957897
2,8.54,0.442676128
2,8.54,0.524887381
2,8.54,0.486902574
2,8.54,0.370656181
2,8.54,0.768220216
1,8.58,0.396685272
1,8.58,0.395682824
1,8.58,0.558665654
1,8.58,0.462815679
1,8.58,0.445279037
1,8.58,0.401840213
1,8.58,0.488961992
1,8.58,0.446173701
1,8.58,0.316551507
1,8.58,0.479220034
1,8.58,0.390890323
1,8.58,0.498456446
1,8.58,0.404319442
1,8.58,0.30792366
1,8.58,0.500348151
1,8.58,0.389926949
1,8.58,0.464977448
1,8.58,0.397098665
1,8.58,0.440352753
1,8.58,0.437991332
1,8.58,0.506686151
1,8.58,0.445456229
1,8.58,0.489020832
1,8.58,0.480608868
1,8.58,0.424593719
1,8.58,0.621698979
1,8.58,0.551868665
1,8.58,0.421645515
1,8.58,0.353415625
1,8.58,0.454466357
1,8.58,0.326035233
1,8.58,0.456039882
1,8.58,0.416142607
1,8.58,0.528442836
1,8.58,0.506524402
1,8.58,0.579112901
1,8.58,0.601922357
1,8.58,0.425076248
1,8.58,0.39951468
1,8.58,0.419244378
1,8.58,0.424904227
1,8.58,0.472707844
1,8.58,0.454842864
1,8.58,0.495262265
1,8.58,0.477037317
1,8.58,0.519256926
1,8.58,0.43258921
1,8.58,0.482244093
1,8.58,0.453950897
1,8.58,0.421513714
1,8.58,0.676755131
1,8.58,0.513780886
1,8.58,0.413089916
1,8.58,0.465143231
1,8.58,0.448111484
1,8.58,0.35809532
1,8.58,0.36684112
1,8.58,0.487473486
1,8.58,0.57954763
1,8.58,0.611819696
1,8.58,0.414441056
1,8.58,0.417547233
1,8.58,0.817859822
1,8.58,0.921545306
1,8.58,0.613576888
1,8.58,0.666577405
1,8.58,0.678574429
1,8.58,0.609761925
1,8.58,0.758339607
